選手名,チーム名,打数,安打,打点,盗塁,本塁打,三振,四球,死球,犠打,犠飛
岡林,中日ドラゴンズ,131,41,7,4,0,19,8,0,1,0
田中,中日ドラゴンズ,44,10,1,2,0,7,1,0,2,0
上林,中日ドラゴンズ,46,10,1,0,1,11,0,1,0,0
細川,中日ドラゴンズ,95,21,12,0,4,31,13,1,0,0
ボスラー,中日ドラゴンズ,26,7,3,0,1,6,1,0,0,0
チェイビス,中日ドラゴンズ,4,0,0,0,0,0,0,0,0,0
山本,中日ドラゴンズ,37,9,1,1,0,5,4,0,3,0
石伊,中日ドラゴンズ,18,0,0,0,0,6,2,0,0,0
福,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
藤嶋,中日ドラゴンズ,1,1,0,0,0,0,1,0,0,0
金丸,中日ドラゴンズ,4,0,0,0,0,4,0,0,0,0
メヒア,中日ドラゴンズ,1,0,0,0,0,0,0,0,1,0
鵜飼,中日ドラゴンズ,22,6,2,0,1,6,1,0,0,0
清水,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
松山,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
ブライト,中日ドラゴンズ,18,7,2,0,0,3,1,0,0,0
加藤匠,中日ドラゴンズ,8,0,0,0,0,0,0,0,2,0
樋口,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
村松,中日ドラゴンズ,54,16,1,0,0,14,5,1,3,1
髙橋宏,中日ドラゴンズ,13,3,1,0,0,5,0,0,1,0
マルテ,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
板山,中日ドラゴンズ,21,9,1,0,1,3,2,0,0,0
松葉,中日ドラゴンズ,14,1,0,0,0,5,0,0,1,0
大島,中日ドラゴンズ,91,23,4,2,1,8,7,1,0,0
橋本,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
尾田,中日ドラゴンズ,1,0,0,0,0,1,0,0,0,0
佐藤,中日ドラゴンズ,10,4,1,1,0,1,1,0,0,0
大野,中日ドラゴンズ,3,0,0,0,0,1,1,0,1,0
宇佐見,中日ドラゴンズ,27,6,1,0,0,6,2,0,0,0
辻本,中日ドラゴンズ,3,2,0,0,0,0,0,0,0,0
涌井,中日ドラゴンズ,2,0,0,0,0,2,0,0,0,0
齋藤,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
カリステ,中日ドラゴンズ,55,11,6,0,0,14,1,0,0,0
川越,中日ドラゴンズ,3,0,0,0,0,2,1,0,0,0
高橋周,中日ドラゴンズ,26,5,1,0,0,5,2,1,0,0
木下,中日ドラゴンズ,71,18,8,0,3,13,7,0,2,1
土田,中日ドラゴンズ,14,2,1,0,0,4,1,1,0,1
三浦,中日ドラゴンズ,2,0,0,0,0,0,0,0,0,0
近藤,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
福永,中日ドラゴンズ,35,15,9,1,2,4,3,1,0,2
石川昂,中日ドラゴンズ,47,11,3,0,0,6,0,0,0,1
小笠原,中日ドラゴンズ,1,0,0,0,0,1,0,0,1,0
勝野,中日ドラゴンズ,2,0,0,0,0,2,0,0,0,0
田島,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
祖父江,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
マルティネス,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
岩嵜,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
ロドリゲス,中日ドラゴンズ,3,0,0,0,0,0,0,0,0,0
フェリス,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
梅津,中日ドラゴンズ,10,1,0,0,0,4,0,0,0,0
ディカーソン,中日ドラゴンズ,14,2,1,0,0,3,1,0,0,0
龍空,中日ドラゴンズ,17,3,2,0,0,5,1,0,2,0
中田,中日ドラゴンズ,14,3,2,0,0,1,1,0,0,0
梅野,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
ビシエド,中日ドラゴンズ,83,39,18,1,3,8,6,3,0,1
山浅,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
三好,中日ドラゴンズ,14,5,0,0,0,4,1,1,1,0
後藤,中日ドラゴンズ,9,0,0,0,0,3,1,0,1,0
福田,中日ドラゴンズ,24,9,5,0,0,8,4,0,0,1
谷元,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
堂上,中日ドラゴンズ,18,4,2,0,1,0,0,0,0,0
大野奨,中日ドラゴンズ,10,3,0,0,0,0,0,0,0,0
石橋,中日ドラゴンズ,2,1,0,0,0,0,0,0,0,0
石垣,中日ドラゴンズ,9,1,0,0,0,1,1,0,0,0
加藤翔,中日ドラゴンズ,3,1,1,0,0,0,0,0,0,0
仲地,中日ドラゴンズ,1,0,0,0,0,1,0,0,0,0
福谷,中日ドラゴンズ,3,2,0,0,0,0,0,0,0,0
上田,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
溝脇,中日ドラゴンズ,0,0,0,0,0,0,1,0,0,0
アルモンテ,中日ドラゴンズ,30,9,6,0,0,5,3,0,0,0
アキーノ,中日ドラゴンズ,1,0,0,0,0,1,0,0,0,0
阿部,中日ドラゴンズ,55,19,11,0,0,8,6,1,0,1
A.マルティネス,中日ドラゴンズ,11,2,3,0,0,4,1,1,0,0
大野雄,中日ドラゴンズ,6,0,0,0,0,3,2,0,1,0
根尾,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
髙松,中日ドラゴンズ,0,0,0,1,0,0,0,0,0,0
郡司,中日ドラゴンズ,4,0,0,0,0,3,1,0,0,0
レビーラ,中日ドラゴンズ,10,3,0,0,0,5,1,0,0,0
三ツ俣,中日ドラゴンズ,10,2,1,0,0,5,0,0,2,0
平田,中日ドラゴンズ,32,13,3,0,0,5,5,0,0,0
森,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
柳,中日ドラゴンズ,4,0,0,0,0,3,0,0,0,0
山下,中日ドラゴンズ,4,1,0,0,0,0,0,0,0,0
京田,中日ドラゴンズ,46,9,2,0,0,11,3,0,1,0
伊藤,中日ドラゴンズ,2,1,0,0,0,0,0,0,0,0
R.マルティネス,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
福留,中日ドラゴンズ,0,0,1,0,0,0,0,0,0,1
高橋,中日ドラゴンズ,41,12,3,0,0,6,3,0,0,0
シエラ,中日ドラゴンズ,8,1,1,0,0,3,0,0,0,0
滝野,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
遠藤,中日ドラゴンズ,7,1,0,0,0,0,1,2,0,0
木下拓,中日ドラゴンズ,10,3,1,0,1,1,1,0,1,0
武田,中日ドラゴンズ,3,1,0,1,0,1,0,0,0,0
井領,中日ドラゴンズ,5,1,0,0,0,1,0,0,0,0
岡野,中日ドラゴンズ,2,0,0,0,0,1,0,0,0,0
藤井,中日ドラゴンズ,12,2,1,0,0,3,0,0,0,0
又吉,中日ドラゴンズ,0,0,0,0,0,0,0,0,1,0
加藤,中日ドラゴンズ,11,1,0,0,0,2,0,0,0,0
亀澤,中日ドラゴンズ,8,0,0,0,0,0,0,0,0,0
三ツ間,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
岡田,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
武山,中日ドラゴンズ,4,1,2,0,0,0,0,0,0,0
山井,中日ドラゴンズ,1,0,0,0,0,0,0,0,1,0
伊藤康,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
松井佑,中日ドラゴンズ,1,0,0,0,0,0,0,0,0,0
岩瀬,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
松井雅,中日ドラゴンズ,6,3,1,0,0,1,2,0,0,1
鈴木翔,中日ドラゴンズ,1,0,0,0,0,1,0,0,0,0
荒木,中日ドラゴンズ,3,2,0,0,0,1,0,0,0,0
工藤,中日ドラゴンズ,0,0,0,0,0,0,0,0,0,0
吉見,中日ドラゴンズ,3,1,1,0,0,0,0,0,1,0
モヤ,中日ドラゴンズ,2,0,1,0,0,1,0,0,0,1
