日付,チーム名,ホーム/ビジター,相手チーム,得点,失点,勝敗,URL,自チーム_打数,自チーム_安打,自チーム_本塁打,自チーム_盗塁,自チーム_四球,自チーム_死球,自チーム_三振,自チーム_被本塁打,自チーム_与四球,自チーム_与死球,自チーム_奪三振,自チーム_与暴投,自チーム_与ボーク,相手チーム_打数,相手チーム_安打,相手チーム_本塁打,相手チーム_盗塁,試合時間,入場者数,コメント
2025-08-15,中日ドラゴンズ,ホーム,横浜DeNAベイスターズDeNA,3,4,敗,https://npb.jp/scores/2025/0815/d-db-18/box.html,35.0,8.0,2.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,7.0,0.0,0.0,38.0,11.0,1.0,2.0,4:03,36288.0,
2025-07-26,中日ドラゴンズ,ビジター,東京ヤクルトスワローズヤクルト,1,2,敗,https://npb.jp/scores/2025/0726/s-d-15/box.html,31.0,8.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,1.0,6.0,0.0,0.0,28.0,8.0,0.0,0.0,3:10,27540.0,
2025-07-27,中日ドラゴンズ,ビジター,東京ヤクルトスワローズヤクルト,2,3,敗,https://npb.jp/scores/2025/0727/s-d-16/box.html,30.0,4.0,2.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,5.0,1.0,0.0,29.0,9.0,1.0,0.0,2:36,27917.0,
2025-07-21,中日ドラゴンズ,ホーム,横浜DeNAベイスターズDeNA,0,1,敗,https://npb.jp/scores/2025/0721/d-db-17/box.html,31.0,5.0,0.0,1.0,2.0,0.0,8.0,0.0,1.0,0.0,6.0,0.0,0.0,34.0,9.0,0.0,0.0,2:56,36303.0,
2025-06-27,中日ドラゴンズ,ホーム,広島東洋カープ広島,3,2,勝,https://npb.jp/scores/2025/0627/d-c-09/box.html,30.0,8.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,36.0,12.0,0.0,1.0,3:13,33210.0,
2025-06-28,中日ドラゴンズ,ホーム,広島東洋カープ広島,1,2,敗,https://npb.jp/scores/2025/0628/d-c-10/box.html,32.0,8.0,0.0,1.0,3.0,0.0,11.0,0.0,2.0,0.0,8.0,1.0,0.0,32.0,6.0,0.0,0.0,3:26,35787.0,
2025-06-06,中日ドラゴンズ,ホーム,千葉ロッテマリーンズロッテ,3,2,勝,https://npb.jp/scores/2025/0606/d-m-01/box.html,27.0,6.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,1.0,8.0,0.0,0.0,34.0,7.0,0.0,1.0,2:59,35437.0,
2025-05-01,中日ドラゴンズ,ホーム,阪神タイガース阪神,3,2,勝,https://npb.jp/scores/2025/0501/d-t-05/box.html,29.0,8.0,0.0,0.0,2.0,1.0,5.0,0.0,8.0,0.0,7.0,0.0,0.0,32.0,6.0,1.0,2.0,3:15,35912.0,
2024-11-13,その他,ホーム,オーストラリア,9,3,勝,,,,,,,,,,,,,,,,,,,,,プレミア12初戦
2024-10-05,中日ドラゴンズ,ホーム,横浜DeNAベイスターズDeNA,4,3,勝,https://npb.jp/scores/2024/1005/d-db-24/box.html,33.0,11.0,1.0,1.0,4.0,0.0,9.0,0.0,8.0,0.0,6.0,0.0,0.0,36.0,11.0,0.0,2.0,3:31,36292.0,田島引退試合＆福永サヨナラ
2024-09-18,中日ドラゴンズ,ホーム,阪神タイガース阪神,3,8,敗,https://npb.jp/scores/2024/0918/d-t-25/box.html,35.0,8.0,0.0,0.0,3.0,1.0,8.0,0.0,5.0,0.0,5.0,0.0,0.0,38.0,15.0,0.0,0.0,3:45,36283.0,
2024-09-12,中日ドラゴンズ,ホーム,東京ヤクルトスワローズヤクルト,4,9,敗,https://npb.jp/scores/2024/0912/d-s-23/box.html,38.0,13.0,1.0,0.0,1.0,1.0,5.0,1.0,5.0,0.0,10.0,0.0,0.0,40.0,15.0,1.0,1.0,4:06,33613.0,
