選手名,チーム名,投球数,投球回,打者数,被安打,被本塁打,与四球,与死球,奪三振,暴投,ボーク,失点
金丸,中日ドラゴンズ,213,14,59,14,1,3,0,9,0,0,3
メヒア,中日ドラゴンズ,176,11,47,10,2,2,0,10,0,0,9
清水,中日ドラゴンズ,212,12,57,17,0,6,0,9,2,0,6
松山,中日ドラゴンズ,149,9,37,6,0,3,0,14,0,0,1
福,中日ドラゴンズ,183,8,36,7,2,1,1,11,0,0,3
藤嶋,中日ドラゴンズ,297,18,76,14,1,4,0,15,2,0,3
髙橋宏,中日ドラゴンズ,688,44,173,34,0,13,2,37,1,0,11
マルテ,中日ドラゴンズ,46,2,12,3,0,1,0,1,0,0,0
松葉,中日ドラゴンズ,662,43,183,39,2,15,1,23,1,0,15
橋本,中日ドラゴンズ,133,7,35,10,0,2,3,9,0,0,2
大野,中日ドラゴンズ,263,15,69,21,0,3,1,9,0,0,7
涌井,中日ドラゴンズ,80,6,22,4,0,1,0,5,0,0,2
齋藤,中日ドラゴンズ,110,6,26,3,0,2,0,5,0,0,0
三浦,中日ドラゴンズ,100,5,24,4,1,5,0,3,0,0,2
近藤,中日ドラゴンズ,26,1,6,1,0,2,0,2,0,0,0
小笠原,中日ドラゴンズ,165,8,43,13,0,4,0,6,0,0,5
勝野,中日ドラゴンズ,290,17,69,14,1,2,0,20,1,0,3
田島,中日ドラゴンズ,38,3,12,2,0,1,0,3,0,0,0
祖父江,中日ドラゴンズ,208,13,53,11,1,1,0,12,0,0,2
マルティネス,中日ドラゴンズ,74,4,19,4,0,4,0,4,0,0,0
岩嵜,中日ドラゴンズ,69,1,16,8,0,3,0,1,0,0,7
フェリス,中日ドラゴンズ,89,3,18,2,0,4,0,6,0,0,2
梅津,中日ドラゴンズ,580,39,150,25,1,11,2,40,1,0,8
梅野,中日ドラゴンズ,33,3,9,0,0,0,0,2,0,0,0
谷元,中日ドラゴンズ,39,2,11,1,0,1,0,2,0,0,0
仲地,中日ドラゴンズ,47,2,11,4,0,0,0,2,1,0,0
上田,中日ドラゴンズ,26,1,7,1,0,1,0,0,0,0,3
福谷,中日ドラゴンズ,189,11,51,12,1,3,1,8,0,0,8
山本,中日ドラゴンズ,50,2,14,5,1,1,0,3,0,0,5
大野雄,中日ドラゴンズ,328,23,81,6,0,6,0,23,0,0,2
根尾,中日ドラゴンズ,32,2,10,2,0,2,0,1,1,0,1
ロドリゲス,中日ドラゴンズ,108,7,28,5,0,1,1,11,1,0,2
柳,中日ドラゴンズ,194,12,51,16,3,0,0,9,0,0,8
森,中日ドラゴンズ,34,2,7,1,0,0,0,3,0,0,0
R.マルティネス,中日ドラゴンズ,65,5,18,0,0,2,0,5,0,0,0
岡野,中日ドラゴンズ,73,5,21,4,2,1,0,2,0,0,3
又吉,中日ドラゴンズ,87,4,20,3,1,3,1,3,0,0,1
三ツ間,中日ドラゴンズ,16,1,4,1,0,1,0,0,0,0,0
岡田,中日ドラゴンズ,10,1,4,0,0,0,0,1,0,0,0
山井,中日ドラゴンズ,106,5,25,7,1,3,0,2,0,0,2
鈴木翔,中日ドラゴンズ,74,3,20,6,0,3,0,1,1,0,3
佐藤,中日ドラゴンズ,10,1,3,0,0,0,0,2,0,0,0
岩瀬,中日ドラゴンズ,45,3,12,3,0,0,1,2,0,0,1
吉見,中日ドラゴンズ,162,11,44,11,1,1,0,3,0,0,6
鈴木博,中日ドラゴンズ,33,2,8,2,0,0,0,1,0,0,1
松坂,中日ドラゴンズ,114,6,29,3,0,7,1,6,1,0,1
